时,分,秒,效用,北纬,东经,地面速率,航向,月日年,磁偏角
01,13,64,A,4047.719,11141.695,000.0,347.2,100517,*1F
01,13,64,A,4047.719,11141.695,2,09,1057,*57
01,13,64,A,4047.719,11141.695,000.0,347.2,100517,*1E
01,13,64,A,4047.719,11141.695,2,09,1057,*56
01,13,64,A,4047.719,11141.695,000.0,347.2,100517,*1D
01,13,64,A,4047.719,11141.695,2,09,1057,*55
01,13,64,A,4047.719,11141.695,000.0,347.2,100517,*1C
01,13,64,A,4047.719,11141.695,2,10,1057,*5C
01,13,64,A,4047.719,11141.695,000.0,347.2,100517,*13
01,13,64,A,4047.719,11141.695,2,10,1057,*53
